iter	Passed	Remaining
0	1	99
1	1	90
2	2	87
3	3	78
4	3	75
5	4	73
6	5	71
7	6	73
8	7	77
9	9	82
10	9	80
11	11	81
12	12	81
13	13	80
14	14	79
15	14	78
16	15	77
17	16	75
18	17	73
19	17	71
20	18	69
21	19	68
22	19	66
23	20	66
24	21	65
25	22	64
26	23	64
27	24	63
28	25	62
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	31	57
35	32	56
36	32	55
37	33	54
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	41
53	47	40
54	47	38
55	48	38
56	49	37
57	50	36
58	50	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	58	27
68	59	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	83	0
99	84	0
