iter	Passed	Remaining
0	54	54144
1	55	27613
2	56	18718
3	57	14432
4	59	11825
5	60	10039
6	62	8865
7	64	7982
8	65	7213
9	66	6595
10	69	6288
11	71	5865
12	72	5499
13	74	5263
14	76	5014
15	77	4772
16	78	4546
17	81	4439
18	82	4268
19	83	4110
20	84	3958
21	87	3908
22	89	3782
23	90	3668
24	91	3560
25	92	3478
26	94	3394
27	95	3312
28	96	3233
29	99	3203
30	100	3133
31	101	3069
32	102	3016
33	105	2988
34	106	2938
35	107	2883
36	108	2829
37	109	2784
38	111	2749
39	112	2708
40	113	2665
41	115	2624
42	116	2595
43	117	2560
44	118	2523
45	119	2484
46	120	2448
47	122	2429
48	124	2406
49	125	2377
50	126	2347
51	127	2327
52	128	2302
53	129	2274
54	130	2249
55	131	2224
56	132	2199
57	134	2182
58	135	2162
59	136	2140
60	142	2190
61	143	2169
62	144	2149
63	154	2253
64	157	2265
65	161	2279
66	162	2260
67	163	2243
68	165	2227
69	166	2210
70	167	2191
71	168	2170
72	169	2156
73	171	2147
74	172	2131
75	173	2115
76	175	2098
77	175	2079
78	177	2073
79	179	2059
80	180	2044
81	181	2028
82	181	2008
83	182	1993
84	184	1988
85	185	1974
86	186	1962
87	188	1948
88	189	1934
89	190	1924
90	191	1915
91	192	1901
92	193	1890
93	194	1879
94	196	1872
95	197	1860
96	198	1849
97	199	1837
98	200	1825
99	202	1820
100	203	1810
101	204	1800
102	205	1789
103	206	1778
104	207	1769
105	208	1760
106	209	1752
107	211	1743
108	212	1733
109	213	1723
110	214	1719
111	215	1711
112	217	1704
113	218	1695
114	219	1689
115	222	1694
116	223	1686
117	224	1679
118	225	1670
119	227	1667
120	228	1661
121	229	1653
122	230	1645
123	231	1638
124	233	1634
125	234	1628
126	235	1621
127	236	1613
128	238	1607
129	239	1604
130	240	1597
131	242	1594
132	243	1587
133	244	1580
134	245	1575
135	247	1569
136	248	1563
137	249	1557
138	250	1550
139	251	1546
140	252	1539
141	253	1531
142	254	1524
143	255	1519
144	256	1513
145	257	1507
146	258	1502
147	260	1497
148	261	1494
149	262	1489
150	265	1494
151	267	1491
152	268	1486
153	271	1490
154	272	1487
155	273	1481
156	274	1475
157	275	1470
158	277	1465
159	278	1461
160	279	1454
161	280	1449
162	281	1444
163	283	1444
164	284	1441
165	286	1437
166	287	1431
167	288	1426
168	289	1423
169	290	1419
170	291	1414
171	292	1409
172	295	1414
173	297	1412
174	298	1407
175	299	1403
176	302	1407
177	303	1403
178	304	1398
179	306	1394
180	307	1393
181	309	1388
182	309	1383
183	310	1379
184	312	1374
185	315	1378
186	316	1374
187	317	1369
188	318	1365
189	320	1364
190	321	1360
191	322	1356
192	323	1352
193	324	1348
194	325	1344
195	327	1342
196	328	1338
197	329	1334
198	330	1329
199	332	1328
200	333	1325
201	334	1321
202	335	1318
203	336	1314
204	338	1311
205	339	1308
206	340	1305
207	341	1301
208	342	1297
209	343	1292
210	345	1290
211	346	1286
212	347	1283
213	348	1279
214	349	1276
215	351	1274
216	352	1272
217	353	1268
218	354	1264
219	356	1262
220	357	1260
221	358	1257
222	359	1253
223	360	1249
224	361	1246
225	363	1244
226	364	1241
227	365	1237
228	366	1234
229	367	1230
230	368	1227
231	370	1224
232	370	1221
233	372	1217
234	373	1214
235	374	1210
236	375	1208
237	376	1205
238	378	1203
239	378	1199
240	379	1196
241	380	1193
242	382	1191
243	383	1189
244	384	1185
245	385	1182
246	387	1179
247	389	1179
248	390	1178
249	391	1175
250	392	1171
251	394	1170
252	395	1167
253	396	1164
254	397	1160
255	398	1157
256	399	1154
257	401	1153
258	402	1150
259	403	1147
260	404	1145
261	405	1142
262	406	1138
263	407	1136
264	408	1133
265	409	1130
266	410	1127
267	411	1124
268	412	1121
269	414	1119
270	415	1116
271	416	1113
272	417	1110
273	417	1107
274	419	1106
275	420	1104
276	422	1102
277	423	1099
278	424	1096
279	426	1097
280	428	1096
281	429	1093
282	430	1090
283	431	1086
284	432	1085
285	434	1083
286	435	1081
287	436	1078
288	437	1075
289	438	1074
290	439	1071
291	441	1069
292	442	1066
293	443	1064
294	444	1063
295	445	1060
296	446	1057
297	447	1054
298	448	1052
299	449	1049
300	451	1048
301	452	1046
302	453	1043
303	454	1040
304	455	1037
305	456	1034
306	457	1033
307	458	1031
308	460	1029
309	461	1027
310	462	1024
311	463	1023
312	465	1020
313	466	1018
314	467	1016
315	468	1014
316	469	1012
317	471	1011
318	472	1008
319	473	1006
320	474	1003
321	475	1002
322	477	999
323	478	999
324	479	996
325	481	994
326	482	993
327	484	992
328	485	990
329	486	988
330	487	985
331	489	985
332	491	983
333	492	981
334	493	979
335	495	979
336	496	977
337	497	974
338	498	972
339	500	971
340	501	968
341	502	967
342	503	964
343	504	962
344	505	959
345	507	958
346	508	956
347	509	954
348	510	952
349	511	950
350	513	948
351	514	947
352	515	945
353	516	942
354	517	940
355	518	937
356	520	937
357	521	935
358	522	932
359	523	930
360	524	927
361	525	926
362	526	924
363	527	922
364	528	920
